Date,Open,High,Low,Close,Adj Close,Volume
2008-01-30,2.880000,2.880000,2.880000,2.880000,2.346155,0
2008-01-31,2.940000,3.000000,2.850000,2.940000,2.395033,828200
2008-02-01,2.900000,3.000000,2.900000,2.900000,2.362448,63800
2008-02-04,3.000000,3.020000,2.900000,3.000000,2.443911,161600
2008-02-05,2.900000,2.920000,2.750000,2.900000,2.362448,566000
2008-02-06,2.730000,2.950000,2.710000,2.730000,2.223959,195600
2008-02-07,2.750000,2.820000,2.700000,2.750000,2.240252,287900
2008-02-08,2.550000,2.580000,2.500000,2.550000,2.077325,546000
2008-02-11,2.530000,2.680000,2.530000,2.530000,2.061032,185100
2008-02-12,2.150000,2.190000,2.050000,2.150000,1.751470,195200
2008-02-13,2.030000,2.090000,2.000000,2.030000,1.653713,132900
2008-02-14,2.080000,2.140000,2.050000,2.080000,1.694445,193600
2008-02-15,2.220000,2.250000,2.150000,2.220000,1.808494,140700
2008-02-19,2.200000,2.300000,2.200000,2.200000,1.792202,216900
2008-02-20,2.220000,2.300000,2.150000,2.220000,1.808494,105900
2008-02-21,2.240000,2.350000,2.200000,2.240000,1.824787,455400
2008-02-22,2.250000,2.340000,2.200000,2.250000,1.832933,159300
2008-02-25,2.350000,2.420000,2.250000,2.350000,1.914397,142000
2008-02-26,2.520000,2.550000,2.450000,2.520000,2.052885,129000
2008-02-27,2.460000,2.500000,2.450000,2.460000,2.004007,462200
2008-02-28,2.470000,2.550000,2.470000,2.470000,2.012154,141800
2008-02-29,2.660000,2.700000,2.620000,2.660000,2.166934,117200
2008-03-03,2.650000,2.790000,2.550000,2.650000,2.158788,66300
2008-03-04,2.700000,2.850000,2.700000,2.700000,2.199520,217300
2008-03-05,2.590000,2.700000,2.550000,2.590000,2.109910,103200
2008-03-06,2.760000,2.800000,2.760000,2.760000,2.248398,207400
2008-03-07,2.660000,2.780000,2.660000,2.660000,2.166934,64100
2008-03-10,2.560000,2.650000,2.560000,2.560000,2.085471,123300
2008-03-11,2.610000,2.790000,2.600000,2.610000,2.126203,137600
2008-03-12,2.610000,2.700000,2.550000,2.610000,2.126203,48400
2008-03-13,2.620000,2.650000,2.550000,2.620000,2.134349,111500
2008-03-14,2.560000,2.600000,2.500000,2.560000,2.085471,81500
2008-03-17,2.660000,2.680000,2.610000,2.660000,2.166934,64700
2008-03-18,2.700000,2.730000,2.700000,2.700000,2.199520,123400
2008-03-19,2.640000,2.700000,2.640000,2.640000,2.150642,77100
2008-03-20,2.650000,2.750000,2.560000,2.650000,2.158788,113900
2008-03-24,2.650000,2.700000,2.620000,2.650000,2.158788,63200
2008-03-25,2.670000,2.700000,2.600000,2.670000,2.175081,135600
2008-03-26,2.620000,2.700000,2.600000,2.620000,2.134349,177500
2008-03-27,2.620000,2.650000,2.600000,2.620000,2.134349,88200
2008-03-28,2.610000,2.620000,2.600000,2.610000,2.126203,54900
2008-03-31,2.620000,2.620000,2.600000,2.620000,2.134349,76900
2008-04-01,2.750000,2.780000,2.650000,2.750000,2.240252,109200
2008-04-02,2.850000,2.900000,2.800000,2.850000,2.321715,96800
2008-04-03,2.800000,2.800000,2.750000,2.800000,2.280983,63600
2008-04-04,3.000000,3.050000,2.900000,3.000000,2.443911,130900
2008-04-07,3.100000,3.150000,3.100000,3.100000,2.525375,6160600
2008-04-08,3.100000,3.120000,3.010000,3.100000,2.525375,2659400
2008-04-09,2.850000,3.040000,2.850000,2.850000,2.321715,97600
2008-04-10,2.750000,2.950000,2.750000,2.750000,2.240252,67800
2008-04-11,2.660000,2.800000,2.650000,2.660000,2.166934,47900
2008-04-14,2.850000,2.950000,2.800000,2.850000,2.321715,33500
2008-04-15,2.850000,2.900000,2.750000,2.850000,2.321715,248900
2008-04-16,2.900000,2.950000,2.800000,2.900000,2.362448,64100
2008-04-17,2.850000,2.950000,2.800000,2.850000,2.321715,89700
2008-04-18,2.910000,3.100000,2.900000,2.910000,2.370594,286000
2008-04-21,2.930000,2.940000,2.880000,2.930000,2.386887,114500
2008-04-22,2.760000,2.830000,2.750000,2.760000,2.248398,142000
2008-04-23,2.810000,2.900000,2.800000,2.810000,2.289129,61600
2008-04-24,2.740000,2.800000,2.700000,2.740000,2.232106,108700
2008-04-25,2.810000,2.850000,2.800000,2.810000,2.289129,66700
2008-04-28,3.100000,3.150000,3.000000,3.100000,2.525375,104000
2008-04-29,3.070000,3.150000,3.050000,3.070000,2.500936,68800
2008-04-30,3.000000,3.100000,3.000000,3.000000,2.443911,128900
2008-05-01,3.030000,3.150000,3.000000,3.030000,2.468349,47700
2008-05-02,3.020000,3.100000,3.000000,3.020000,2.460204,110200
2008-05-05,3.000000,3.050000,3.000000,3.000000,2.443911,34800
2008-05-06,3.060000,3.100000,3.000000,3.060000,2.492789,48300
2008-05-07,2.900000,3.050000,2.900000,2.900000,2.362448,50000
2008-05-08,2.950000,3.050000,2.950000,2.950000,2.403179,38700
2008-05-09,2.850000,2.940000,2.850000,2.850000,2.321715,35000
2008-05-12,2.830000,2.870000,2.750000,2.830000,2.305422,78500
2008-05-13,2.850000,2.890000,2.750000,2.850000,2.321715,73700
2008-05-14,2.810000,2.860000,2.800000,2.810000,2.289129,59100
2008-05-15,2.700000,2.800000,2.700000,2.700000,2.199520,46100
2008-05-16,2.750000,2.800000,2.700000,2.750000,2.240252,76400
2008-05-19,2.700000,2.770000,2.700000,2.700000,2.199520,61500
2008-05-20,2.590000,2.650000,2.590000,2.590000,2.109910,59300
2008-05-21,2.550000,2.650000,2.550000,2.550000,2.077325,61400
2008-05-22,2.550000,2.700000,2.550000,2.550000,2.077325,32700
2008-05-23,2.510000,2.630000,2.500000,2.510000,2.044739,84900
2008-05-27,2.600000,2.670000,2.400000,2.600000,2.118056,537500
2008-05-28,2.550000,2.580000,2.450000,2.550000,2.077325,378200
2008-05-29,2.580000,2.590000,2.520000,2.580000,2.101763,2451400
2008-05-30,2.680000,2.690000,2.580000,2.680000,2.183227,161800
2008-06-02,2.630000,2.640000,2.550000,2.630000,2.142495,1050400
2008-06-03,2.690000,2.720000,2.650000,2.690000,2.191373,234400
2008-06-04,2.650000,2.680000,2.600000,2.650000,2.158788,93400
2008-06-05,2.650000,2.670000,2.550000,2.650000,2.158788,131600
2008-06-06,2.650000,2.660000,2.600000,2.650000,2.158788,384800
2008-06-09,2.650000,2.650000,2.550000,2.650000,2.158788,36300
2008-06-10,2.540000,2.550000,2.540000,2.540000,2.069178,67100
2008-06-11,2.530000,2.570000,2.520000,2.530000,2.061032,155200
2008-06-12,2.510000,2.520000,2.450000,2.510000,2.044739,152500
2008-06-13,2.500000,2.510000,2.450000,2.500000,2.036593,288700
2008-06-16,2.560000,2.600000,2.500000,2.560000,2.085471,42600
2008-06-17,2.500000,2.510000,2.500000,2.500000,2.036593,67200
2008-06-18,2.450000,2.460000,2.420000,2.450000,1.995861,78900
2008-06-19,2.400000,2.410000,2.400000,2.400000,1.955129,44600
2008-06-20,2.410000,2.410000,2.300000,2.410000,1.963276,205200
2008-06-23,2.410000,2.410000,2.410000,2.410000,1.963276,0
2008-06-24,2.410000,2.480000,2.380000,2.410000,1.963276,85700
2008-06-25,2.380000,2.480000,2.380000,2.380000,1.938836,172000
2008-06-26,2.310000,2.390000,2.300000,2.310000,1.881811,282200
2008-06-27,2.350000,2.350000,2.300000,2.350000,1.914397,168500
2008-06-30,2.200000,2.310000,2.200000,2.200000,1.792202,1225200
2008-07-01,2.180000,2.200000,2.130000,2.180000,1.775909,3419900
2008-07-02,2.060000,2.170000,2.060000,2.060000,1.678152,206300
2008-07-03,2.100000,2.140000,2.070000,2.100000,1.710738,144800
2008-07-07,2.200000,2.250000,2.150000,2.200000,1.792202,201700
2008-07-08,2.160000,2.240000,2.050000,2.160000,1.759616,345100
2008-07-09,2.300000,2.330000,2.260000,2.300000,1.873665,191100
2008-07-10,2.420000,2.450000,2.300000,2.420000,1.971422,225200
2008-07-11,2.320000,2.400000,2.310000,2.320000,1.889958,136200
2008-07-14,2.350000,2.440000,2.340000,2.350000,1.914397,103700
2008-07-15,2.330000,2.400000,2.250000,2.330000,1.898104,81200
2008-07-16,2.450000,2.450000,2.370000,2.450000,1.995861,139100
2008-07-17,2.420000,2.430000,2.360000,2.420000,1.971422,159500
2008-07-18,2.390000,2.440000,2.350000,2.390000,1.946983,117000
2008-07-21,2.400000,2.420000,2.370000,2.400000,1.955129,92300
2008-07-22,2.360000,2.390000,2.360000,2.360000,1.922543,103300
2008-07-23,2.390000,2.410000,2.350000,2.390000,1.946983,116100
2008-07-24,2.370000,2.420000,2.370000,2.370000,1.930690,63800
2008-07-25,2.380000,2.400000,2.350000,2.380000,1.938836,105300
2008-07-28,2.360000,2.440000,2.330000,2.360000,1.922543,132500
2008-07-29,2.360000,2.400000,2.290000,2.360000,1.922543,69700
2008-07-30,2.430000,2.450000,2.390000,2.430000,1.979568,68100
2008-07-31,2.300000,2.400000,2.240000,2.300000,1.873665,122400
2008-08-01,2.450000,2.500000,2.350000,2.450000,1.995861,101500
2008-08-04,2.800000,2.830000,2.650000,2.800000,2.280983,451800
2008-08-05,2.690000,2.750000,2.590000,2.690000,2.191373,44400
2008-08-06,2.610000,2.670000,2.580000,2.610000,2.126203,152400
2008-08-07,2.530000,2.600000,2.450000,2.530000,2.061032,158100
2008-08-08,2.730000,2.800000,2.650000,2.730000,2.223959,64500
2008-08-11,2.830000,2.900000,2.750000,2.830000,2.305422,61000
2008-08-12,2.840000,2.890000,2.750000,2.840000,2.313569,115300
